Nr.	Pos. [°2Th.]	Q [1/Å]	Iberechn. [cts]	Iback [cts]	Std.Abw.	d-Werte	CT [s]	Intensity [Counts]
1	20.0166	1.4176			22.8473	4.4323	32.8950	522.0000
2	20.0296	1.4185			22.4980	4.4295	32.8950	506.1588
3	20.0426	1.4194			23.0752	4.4267	32.8950	532.4642
4	20.0556	1.4203			21.6780	4.4238	32.8950	469.9348
5	20.0686	1.4212			21.1621	4.4210	32.8950	447.8335
6	20.0816	1.4221			21.1199	4.4181	32.8950	446.0496
7	20.0946	1.4230			22.3519	4.4153	32.8950	499.6066
8	20.1076	1.4240			22.1353	4.4125	32.8950	489.9724
9	20.1206	1.4249			22.1133	4.4097	32.8950	489.0000
10	20.1336	1.4258			21.7395	4.4068	32.8950	472.6074
11	20.1466	1.4267			22.5773	4.4040	32.8950	509.7334
12	20.1596	1.4276			22.2351	4.4012	32.8950	494.4012
13	20.1726	1.4285			21.9415	4.3984	32.8950	481.4288
14	20.1856	1.4294			22.4198	4.3956	32.8950	502.6463
15	20.1986	1.4303			21.8931	4.3928	32.8950	479.3063
16	20.2116	1.4312			21.9308	4.3900	32.8950	480.9582
17	20.2246	1.4322			22.5406	4.3872	32.8950	508.0785
18	20.2376	1.4331			21.8841	4.3844	32.8950	478.9158
19	20.2506	1.4340			22.5602	4.3816	32.8950	508.9629
20	20.2636	1.4349			21.9939	4.3789	32.8950	483.7295
21	20.2766	1.4358			22.0186	4.3761	32.8950	484.8171
22	20.2896	1.4367			22.3532	4.3733	32.8950	499.6661
23	20.3026	1.4376			22.5320	4.3705	32.8950	507.6903
24	20.3156	1.4385			21.2395	4.3678	32.8950	451.1160
25	20.3286	1.4394			21.8675	4.3650	32.8950	478.1882
26	20.3416	1.4404			22.5008	4.3623	32.8950	506.2869
27	20.3546	1.4413			21.8543	4.3595	32.8950	477.6091
28	20.3676	1.4422			21.6885	4.3567	32.8950	470.3926
29	20.3806	1.4431			22.2997	4.3540	32.8950	497.2761
30	20.3936	1.4440			21.9399	4.3512	32.8950	481.3589
31	20.4066	1.4449			22.0238	4.3485	32.8950	485.0466
32	20.4196	1.4458			22.3762	4.3458	32.8950	500.6937
33	20.4326	1.4467			22.3504	4.3430	32.8950	499.5401
34	20.4456	1.4476			21.5729	4.3403	32.8950	465.3895
35	20.4586	1.4485			21.8138	4.3376	32.8950	475.8430
36	20.4716	1.4495			22.3336	4.3348	32.8950	498.7908
37	20.4846	1.4504			21.9432	4.3321	32.8950	481.5021
38	20.4976	1.4513			22.6142	4.3294	32.8950	511.4026
39	20.5106	1.4522			22.6209	4.3267	32.8950	511.7049
40	20.5236	1.4531			22.2108	4.3240	32.8950	493.3218
41	20.5366	1.4540			21.6213	4.3213	32.8950	467.4788
42	20.5496	1.4549			21.8384	4.3186	32.8950	476.9138
43	20.5626	1.4558			21.5871	4.3159	32.8950	466.0034
44	20.5756	1.4567			21.6946	4.3132	32.8950	470.6537
45	20.5886	1.4577			21.9599	4.3105	32.8950	482.2390
46	20.6016	1.4586			22.1798	4.3078	32.8950	491.9444
47	20.6146	1.4595			22.0591	4.3051	32.8950	486.6056
48	20.6276	1.4604			21.7624	4.3024	32.8950	473.6010
49	20.6406	1.4613			21.5650	4.2997	32.8950	465.0491
50	20.6536	1.4622			21.5934	4.2971	32.8950	466.2761
51	20.6666	1.4631			21.8405	4.2944	32.8950	477.0078
52	20.6796	1.4640			21.7727	4.2917	32.8950	474.0483
53	20.6926	1.4649			22.0448	4.2890	32.8950	485.9733
54	20.7056	1.4658			22.0761	4.2864	32.8950	487.3541
55	20.7186	1.4668			22.0089	4.2837	32.8950	484.3901
56	20.7316	1.4677			22.2201	4.2811	32.8950	493.7316
57	20.7446	1.4686			21.8200	4.2784	32.8950	476.1130
