Nr.	Pos. [°2Th.]	d-Wert [Å]	Höhe [cts]	FWHM links [°2Th.]	FWHM rechts [°2Th.]	Form links	Form rechts	Integrale Breite [°2Th.]	Fläche [cts*°2Th.]	Untergr.[cts]	Status	nur Kristallitgrösse [Å]	nur Mikrostrain [%]	Kristallitgrösse [Å]	Microstrain [%]
1	28.4512(2)	3.13460	11031.46	0.0935(7)		1.20(1)		0.132315	1460(4)	455.10	einbezogene	2924	0.05360	2955	-0.06069
2	32.9869(4)	2.71322	3807.98	0.094(1)		1.27(3)		0.129837	494(3)	433.06	einbezogene	3948	0.03437	4026	-0.03729
3	47.3933(2)	1.91667	11268.90	0.0918(5)		1.24(1)		0.128066	1443(4)	385.99	einbezogene	4018	0.02385	4092	-0.03146
4	56.2530(2)	1.63400	10935.52	0.0912(5)		1.163(9)		0.131146	1434(4)	370.73	einbezogene	2984	0.02738	3011	-0.03550
5	59.0002(5)	1.56430	2139.75	0.093(1)		1.17(3)		0.133173	285(3)	367.86	einbezogene	3000	0.02607	3027	-0.03260
6	69.3258(4)	1.35438	2470.39	0.095(1)		1.37(4)		0.127600	315(2)	364.54	einbezogene	11516	0.00588	13793	-0.01158
7	76.6134(3)	1.24268	5478.24	0.1011(8)		1.15(1)		0.145974	800(4)	369.06	einbezogene	2779	0.02236	2796	-0.02618
8	78.9880(3)	1.21117	3747.34	0.099(1)		1.14(2)		0.143632	538(3)	371.72	einbezogene	2905	0.02085	2924	-0.02755
9	88.3427(3)	1.10547	5547.05	0.1103(9)		1.16(1)		0.158554	880(4)	387.87	einbezogene	2918	0.01894	2935	-0.02229
10	95.3170(3)	1.04215	5139.31	0.1138(9)		1.14(1)		0.165377	850(4)	405.69	einbezogene	2871	0.01815	2885	-0.02343
11	107.1799(5)	0.95714	2114.17	0.140(2)		1.37(4)		0.188015	397(3)	447.20	einbezogene	4368	0.01096	8216	0.00679
12	114.6454(3)	0.91514	6428.46	0.150(1)		1.12(1)		0.220295	1416(5)	480.50	einbezogene	2319	0.01973	2324	-0.02187
13	117.2298(5)	0.90232	3049.80	0.158(2)		1.15(2)		0.227880	695(4)	493.31	einbezogene	2631	0.01715	2637	-0.01946
