Nr.	Pos. [°2Th.]	Q [1/Å]	Iberechn. [cts]	Iback [cts]	Std.Abw.	d-Werte	CT [s]	Intensity [Counts]
1	20.0166	1.4176			22.8473	4.4323	32.8950	522.0000
2	20.0296	1.4185			22.5200	4.4295	32.8950	507.1488
3	20.0426	1.4194			20.4163	4.4267	32.8950	416.8257
4	20.0556	1.4203			21.0047	4.4238	32.8950	441.1963
5	20.0686	1.4212			21.4309	4.4210	32.8950	459.2856
6	20.0816	1.4221			21.7119	4.4181	32.8950	471.4047
7	20.0946	1.4230			21.2662	4.4153	32.8950	452.2502
8	20.1076	1.4240			21.7562	4.4125	32.8950	473.3331
9	20.1206	1.4249			21.1078	4.4097	32.8950	445.5401
10	20.1336	1.4258			21.7707	4.4068	32.8950	473.9638
11	20.1466	1.4267			21.7784	4.4040	32.8950	474.2977
12	20.1596	1.4276			21.5453	4.4012	32.8950	464.2006
13	20.1726	1.4285			21.6806	4.3984	32.8950	470.0475
14	20.1856	1.4294			20.2921	4.3956	32.8950	411.7713
15	20.1986	1.4303			21.2217	4.3928	32.8950	450.3598
16	20.2116	1.4312			21.4605	4.3900	32.8950	460.5535
17	20.2246	1.4322			22.8010	4.3872	32.8950	519.8870
18	20.2376	1.4331			22.2543	4.3844	32.8950	495.2532
19	20.2506	1.4340			21.8853	4.3816	32.8950	478.9646
20	20.2636	1.4349			22.7859	4.3789	32.8950	519.1968
21	20.2766	1.4358			21.8930	4.3761	32.8950	479.3037
22	20.2896	1.4367			21.3522	4.3733	32.8950	455.9172
23	20.3026	1.4376			22.6192	4.3705	32.8950	511.6282
24	20.3156	1.4385			22.6569	4.3678	32.8950	513.3360
25	20.3286	1.4394			22.4764	4.3650	32.8950	505.1907
26	20.3416	1.4404			22.1634	4.3623	32.8950	491.2170
27	20.3546	1.4413			21.4024	4.3595	32.8950	458.0612
28	20.3676	1.4422			21.0272	4.3567	32.8950	442.1432
29	20.3806	1.4431			20.8033	4.3540	32.8950	432.7782
30	20.3936	1.4440			21.9219	4.3512	32.8950	480.5700
31	20.4066	1.4449			21.6493	4.3485	32.8950	468.6928
32	20.4196	1.4458			20.5032	4.3458	32.8950	420.3796
33	20.4326	1.4467			20.7425	4.3430	32.8950	430.2520
34	20.4456	1.4476			21.7780	4.3403	32.8950	474.2831
35	20.4586	1.4485			21.4518	4.3376	32.8950	460.1811
36	20.4716	1.4495			21.5844	4.3348	32.8950	465.8870
37	20.4846	1.4504			22.1617	4.3321	32.8950	491.1415
38	20.4976	1.4513			22.1534	4.3294	32.8950	490.7726
39	20.5106	1.4522			21.0035	4.3267	32.8950	441.1474
40	20.5236	1.4531			21.6179	4.3240	32.8950	467.3336
41	20.5366	1.4540			21.4333	4.3213	32.8950	459.3856
42	20.5496	1.4549			21.1944	4.3186	32.8950	449.2024
43	20.5626	1.4558			21.7811	4.3159	32.8950	474.4151
44	20.5756	1.4567			21.4858	4.3132	32.8950	461.6397
45	20.5886	1.4577			21.1750	4.3105	32.8950	448.3805
46	20.6016	1.4586			21.5087	4.3078	32.8950	462.6234
47	20.6146	1.4595			21.8876	4.3051	32.8950	479.0665
48	20.6276	1.4604			21.7054	4.3024	32.8950	471.1251
49	20.6406	1.4613			21.6794	4.2997	32.8950	469.9983
