Nr.	Pos. [°2Th.]	d-Wert [Å]	Höhe [cts]	FWHM links [°2Th.]	FWHM rechts [°2Th.]	Form links	Form rechts	Integrale Breite [°2Th.]	Fläche [cts*°2Th.]	Untergr.[cts]	Status	nur Kristallitgrösse [Å]	nur Mikrostrain [%]	Kristallitgrösse [Å]	Microstrain [%]
1	28.5461(8)	3.12439	2173.34	0.450(3)		1.50(3)		0.587157	1276(6)	442.09	einbezogene	173	0.90479	321	0.55542
2	33.080(2)	2.70579	734.67	0.421(6)		1.27(4)		0.581536	427(5)	422.76	einbezogene	177	0.76476	257	0.36810
3	47.4912(9)	1.91295	2146.37	0.467(3)		1.43(2)		0.618550	1328(5)	380.43	einbezogene	172	0.55484	298	0.32170
4	56.351(1)	1.63140	1940.06	0.502(4)		1.46(4)		0.661171	1283(7)	367.23	einbezogene	166	0.49015	292	0.28823
5	59.096(3)	1.56200	380.12	0.52(1)		1.25(7)		0.717694	273(5)	365.01	einbezogene	154	0.50592	216	0.23213
6	69.422(3)	1.35273	397.37	0.56(1)		3.1(5)		0.647950	257(3)	364.37	einbezogene	183	0.37060	1179	0.33327
7	76.722(2)	1.24119	1001.56	0.563(7)		1.18(3)		0.804357	806(6)	371.16	einbezogene	153	0.40583	196	0.16032
8	79.092(2)	1.20983	617.94	0.64(1)		2.0(2)		0.781533	483(6)	374.65	einbezogene	160	0.37851	457	0.28848
9	88.446(2)	1.10444	889.14	0.72(1)		2.6(3)		0.846707	753(7)	394.48	einbezogene	158	0.34879	652	0.29264
10	95.420(2)	1.04130	801.17	0.75(1)		3(1)		0.857411	687(6)	415.54	einbezogene	167	0.31206	1148	0.28260
11	107.306(5)	0.95637	321.22	0.87(3)		30(112)		0.934766	300(5)	463.75	einbezogene	162	0.29449	-1765	0.29446
12	114.765(2)	0.91453	1169.22	0.86(1)		1.21(6)		1.214609	1420(37)	493.19	einbezogene	147	0.31185	196	0.13291
13	117.340(4)	0.90179	527.74	0.97(2)		1.9(3)		1.195667	631(29)	510.50	einbezogene	155	0.29106	388	0.21096
