Nr.	Pos. [°2Th.]	Q [1/Å]	Iberechn. [cts]	Iback [cts]	Std.Abw.	d-Werte	CT [s]	Intensity [Counts]
1	20.0146	1.4174			21.7256	4.4328	32.8950	472.0000
2	20.0276	1.4183			21.9071	4.4299	32.8950	479.9206
3	20.0406	1.4193			21.8865	4.4271	32.8950	479.0198
4	20.0536	1.4202			21.7527	4.4242	32.8950	473.1786
5	20.0666	1.4211			21.7706	4.4214	32.8950	473.9603
6	20.0796	1.4220			22.3318	4.4186	32.8950	498.7101
7	20.0926	1.4229			22.1918	4.4157	32.8950	492.4763
8	20.1056	1.4238			22.2857	4.4129	32.8950	496.6527
9	20.1186	1.4247			21.7712	4.4101	32.8950	473.9845
10	20.1316	1.4256			22.8094	4.4073	32.8950	520.2671
11	20.1446	1.4265			23.2059	4.4045	32.8950	538.5117
12	20.1576	1.4275			22.4779	4.4017	32.8950	505.2567
13	20.1706	1.4284			22.6374	4.3988	32.8950	512.4521
14	20.1836	1.4293			22.3621	4.3960	32.8950	500.0638
15	20.1966	1.4302			21.7096	4.3932	32.8950	471.3063
16	20.2096	1.4311			22.5357	4.3904	32.8950	507.8559
17	20.2226	1.4320			23.4233	4.3877	32.8950	548.6497
18	20.2356	1.4329			22.6957	4.3849	32.8950	515.0966
19	20.2486	1.4338			22.5349	4.3821	32.8950	507.8214
20	20.2616	1.4347			22.9668	4.3793	32.8950	527.4754
21	20.2746	1.4357			22.9606	4.3765	32.8950	527.1907
22	20.2876	1.4366			22.9519	4.3737	32.8950	526.7916
23	20.3006	1.4375			22.4573	4.3710	32.8950	504.3304
24	20.3136	1.4384			22.6591	4.3682	32.8950	513.4357
25	20.3266	1.4393			22.7261	4.3654	32.8950	516.4763
26	20.3396	1.4402			22.6493	4.3627	32.8950	512.9922
27	20.3526	1.4411			21.9955	4.3599	32.8950	483.8032
28	20.3656	1.4420			22.5479	4.3572	32.8950	508.4086
29	20.3786	1.4429			22.1673	4.3544	32.8950	491.3908
30	20.3916	1.4439			22.5181	4.3517	32.8950	507.0656
31	20.4046	1.4448			22.8520	4.3489	32.8950	522.2140
32	20.4176	1.4457			22.4019	4.3462	32.8950	501.8429
33	20.4306	1.4466			22.8927	4.3435	32.8950	524.0769
34	20.4436	1.4475			22.8367	4.3407	32.8950	521.5133
35	20.4566	1.4484			22.9546	4.3380	32.8950	526.9155
36	20.4696	1.4493			22.7956	4.3353	32.8950	519.6402
37	20.4826	1.4502			22.5705	4.3325	32.8950	509.4288
38	20.4956	1.4511			22.5949	4.3298	32.8950	510.5315
39	20.5086	1.4521			22.6274	4.3271	32.8950	512.0000
40	20.5216	1.4530			22.7894	4.3244	32.8950	519.3564
41	20.5346	1.4539			22.8779	4.3217	32.8950	523.3969
42	20.5476	1.4548			22.5821	4.3190	32.8950	509.9499
43	20.5606	1.4557			22.0417	4.3163	32.8950	485.8352
44	20.5736	1.4566			22.5826	4.3136	32.8950	509.9738
45	20.5866	1.4575			23.2609	4.3109	32.8950	541.0708
46	20.5996	1.4584			23.2025	4.3082	32.8950	538.3580
47	20.6126	1.4593			23.2276	4.3055	32.8950	539.5229
48	20.6256	1.4602			23.2421	4.3028	32.8950	540.1971
49	20.6386	1.4612			23.2307	4.3001	32.8950	539.6661
50	20.6516	1.4621			23.0808	4.2975	32.8950	532.7239
51	20.6646	1.4630			23.0666	4.2948	32.8950	532.0699
52	20.6776	1.4639			23.0889	4.2921	32.8950	533.0966
53	20.6906	1.4648			22.9762	4.2895	32.8950	527.9042
54	20.7036	1.4657			22.9093	4.2868	32.8950	524.8365
55	20.7166	1.4666			22.7494	4.2841	32.8950	517.5358
56	20.7296	1.4675			23.0354	4.2815	32.8950	530.6282
57	20.7426	1.4684			23.5395	4.2788	32.8950	554.1096
58	20.7556	1.4693			23.2467	4.2762	32.8950	540.4097
59	20.7686	1.4703			22.8760	4.2735	32.8950	523.3107
60	20.7816	1.4712			22.8602	4.2709	32.8950	522.5875
61	20.7946	1.4721			22.3431	4.2682	32.8950	499.2140
62	20.8076	1.4730			22.7590	4.2656	32.8950	517.9738
63	20.8206	1.4739			23.0917	4.2630	32.8950	533.2251
64	20.8336	1.4748			22.9863	4.2603	32.8950	528.3715
65	20.8466	1.4757			23.3293	4.2577	32.8950	544.2554
66	20.8596	1.4766			23.2740	4.2551	32.8950	541.6808
67	20.8726	1.4775			23.2881	4.2525	32.8950	542.3364
68	20.8856	1.4785			23.1024	4.2498	32.8950	533.7210
69	20.8986	1.4794			23.7499	4.2472	32.8950	564.0596
70	20.9116	1.4803			23.8807	4.2446	32.8950	570.2859
71	20.9246	1.4812			23.1876	4.2420	32.8950	537.6653
72	20.9376	1.4821			23.7928	4.2394	32.8950	566.0951
73	20.9506	1.4830			24.3723	4.2368	32.8950	594.0084
74	20.9636	1.4839			23.8786	4.2342	32.8950	570.1888
75	20.9766	1.4848			25.1467	4.2316	32.8950	632.3563
76	20.9896	1.4857			24.8666	4.2290	32.8950	618.3491
77	21.0026	1.4866			25.2953	4.2264	32.8950	639.8526
78	21.0156	1.4876			25.9449	4.2238	32.8950	673.1355
79	21.0286	1.4885			26.2604	4.2213	32.8950	689.6091
80	21.0416	1.4894			26.1626	4.2187	32.8950	684.4841
81	21.0546	1.4903			26.7320	4.2161	32.8950	714.5989
82	21.0676	1.4912			27.3325	4.2135	32.8950	747.0666
83	21.0806	1.4921			27.9303	4.2110	32.8950	780.1002
84	21.0936	1.4930			28.1770	4.2084	32.8950	793.9417
85	21.1066	1.4939			28.0919	4.2058	32.8950	789.1547
86	21.1196	1.4948			29.5704	4.2033	32.8950	874.4076
87	21.1326	1.4957			31.1149	4.2007	32.8950	968.1350
88	21.1456	1.4966			32.6366	4.1982	32.8950	1065.1455
89	21.1586	1.4976			33.2364	4.1956	32.8950	1104.6598
90	21.1716	1.4985			35.3826	4.1931	32.8950	1251.9253
91	21.1846	1.4994			36.9387	4.1905	32.8950	1364.4684
92	21.1976	1.5003			39.6668	4.1880	32.8950	1573.4525
93	21.2106	1.5012			42.2619	4.1855	32.8950	1786.0722
94	21.2236	1.5021			44.1250	4.1829	32.8950	1947.0172
95	21.2366	1.5030			47.5661	4.1804	32.8950	2262.5366
96	21.2496	1.5039			51.7663	4.1779	32.8950	2679.7474
97	21.2626	1.5048			55.2904	4.1753	32.8950	3057.0276
98	21.2756	1.5057			59.0645	4.1728	32.8950	3488.6162
99	21.2886	1.5067			65.3943	4.1703	32.8950	4276.4149
100	21.3016	1.5076			72.8098	4.1678	32.8950	5301.2731
101	21.3146	1.5085			81.6071	4.1653	32.8950	6659.7141
102	21.3276	1.5094			89.5825	4.1628	32.8950	8025.0312
103	21.3406	1.5103			87.9296	4.1602	32.8950	7731.6225
104	21.3536	1.5112			77.8555	4.1577	32.8950	6061.4837
105	21.3666	1.5121			68.8289	4.1552	32.8950	4737.4214
106	21.3796	1.5130			66.1653	4.1527	32.8950	4377.8497
107	21.3926	1.5139			62.0106	4.1503	32.8950	3845.3151
108	21.4056	1.5148			52.6471	4.1478	32.8950	2771.7190
109	21.4186	1.5157			42.0047	4.1453	32.8950	1764.3967
110	21.4316	1.5167			34.2232	4.1428	32.8950	1171.2282
111	21.4446	1.5176			31.0660	4.1403	32.8950	965.0958
112	21.4576	1.5185			29.3723	4.1378	32.8950	862.7321
113	21.4706	1.5194			27.3358	4.1354	32.8950	747.2445
114	21.4836	1.5203			26.3191	4.1329	32.8950	692.6974
115	21.4966	1.5212			26.5565	4.1304	32.8950	705.2460
116	21.5096	1.5221			26.9610	4.1279	32.8950	726.8966
117	21.5226	1.5230			26.0098	4.1255	32.8950	676.5122
118	21.5356	1.5239			25.4829	4.1230	32.8950	649.3791
119	21.5486	1.5248			25.2365	4.1206	32.8950	636.8792
120	21.5616	1.5257			24.6736	4.1181	32.8950	608.7841
121	21.5746	1.5267			23.8369	4.1157	32.8950	568.1991
122	21.5876	1.5276			22.8742	4.1132	32.8950	523.2276
123	21.6006	1.5285			23.7764	4.1108	32.8950	565.3161
124	21.6136	1.5294			24.2078	4.1083	32.8950	586.0160
125	21.6266	1.5303			23.7679	4.1059	32.8950	564.9110
126	21.6396	1.5312			23.0853	4.1034	32.8950	532.9295
127	21.6526	1.5321			22.9456	4.1010	32.8950	526.4996
128	21.6656	1.5330			23.4507	4.0986	32.8950	549.9359
129	21.6786	1.5339			24.0507	4.0961	32.8950	578.4385
130	21.6916	1.5348			23.3752	4.0937	32.8950	546.3988
131	21.7046	1.5357			22.4345	4.0913	32.8950	503.3061
132	21.7176	1.5367			22.3383	4.0889	32.8950	499.0018
