Nr.	Pos. [°2Th.]	d-Wert [Å]	Höhe [cts]	FWHM links [°2Th.]	FWHM rechts [°2Th.]	Form links	Form rechts	Integrale Breite [°2Th.]	Fläche [cts*°2Th.]	Untergr.[cts]	Status	nur Kristallitgrösse [Å]	nur Mikrostrain [%]	Kristallitgrösse [Å]	Microstrain [%]
1	21.3118(3)	4.16581	5379.53	0.082(1)		1.22(2)		0.115809	623(3)	506.90	einbezogene	5596	0.03722	5875	-0.09812
2	30.3429(2)	2.94335	13622.32	0.0788(5)		1.148(9)		0.114001	1553(4)	457.88	einbezogene	4113	0.03578	4204	-0.07925
3	37.4035(2)	2.40237	7129.43	0.0743(7)		1.07(1)		0.111520	795(4)	423.58	einbezogene	3317	0.03622	3360	-0.07234
4	43.4736(3)	2.07996	4909.80	0.0689(7)		1.10(2)		0.102139	501(3)	398.17	einbezogene	5469	0.01901	5692	-0.06092
5	48.9238(2)	1.86023	11778.29	0.0716(5)		1.048(8)		0.109019	1284(4)	378.93	einbezogene	3417	0.02722	3461	-0.05668
6	53.9557(2)	1.69802	6723.38	0.0730(6)		1.02(1)		0.113368	762(4)	364.33	einbezogene	2766	0.03070	2787	-0.05327
7	63.1867(4)	1.47035	2822.43	0.079(1)		1.07(2)		0.119007	336(3)	345.71	einbezogene	3214	0.02287	3245	-0.04142
8	67.5164(2)	1.38621	7819.83	0.0803(6)		0.989(9)		0.127222	995(4)	340.69	einbezogene	2186	0.03171	2195	-0.04326
9	71.7155(2)	1.31501	6390.81	0.0777(7)		1.02(1)		0.120624	771(4)	338.11	einbezogene	2859	0.02300	2878	-0.03986
10	75.8137(3)	1.25378	3884.46	0.085(1)		1.03(2)		0.131703	512(3)	337.78	einbezogene	2453	0.02556	2465	-0.03709
11	79.842(1)	1.20035	620.81	0.098(4)		1.4(1)		0.131578	82(2)	339.58	einbezogene	13898	0.00432	17527	-0.01404
12	83.8188(4)	1.15322	2523.48	0.092(1)		1.03(2)		0.141553	357(3)	343.42	einbezogene	2369	0.02434	2379	-0.03365
13	87.7648(3)	1.11125	5102.45	0.0969(9)		0.97(1)		0.155388	793(4)	349.28	einbezogene	1853	0.02998	1857	-0.03408
14	95.6474(8)	1.03942	977.88	0.099(3)		1.16(6)		0.142113	139(3)	367.07	einbezogene	5697	0.00912	5812	-0.02500
15	99.6197(3)	1.00837	4576.95	0.107(1)		0.92(1)		0.179237	820(5)	379.12	einbezogene	1733	0.02909	1736	-0.03108
16	103.6386(4)	0.97994	3792.09	0.114(1)		0.96(1)		0.184124	698(5)	393.42	einbezogene	1809	0.02709	1812	-0.03033
17	107.7290(7)	0.95378	1562.49	0.125(2)		0.97(3)		0.202039	316(5)	410.16	einbezogene	1643	0.02903	1645	-0.02969
18	111.9140(5)	0.92962	2238.99	0.126(2)		0.88(2)		0.221117	495(6)	429.57	einbezogene	1525	0.03048	1526	-0.02914
19	116.2279(3)	0.90719	4667.58	0.138(1)		0.897(9)		0.236002	1102(7)	452.00	einbezogene	1517	0.02991	1518	-0.02867
20	120.7084(6)	0.88632	2058.58	0.162(2)		0.94(2)		0.266371	548(6)	477.89	einbezogene	1366	0.03243	1367	-0.02829
