Nr.	Pos. [°2Th.]	Q [1/Å]	Iberechn. [cts]	Iback [cts]	Std.Abw.	d-Werte	CT [s]	Intensity [Counts]
1	20.0086	1.4170			31.1609	4.4341	32.8950	971.0000
2	20.0216	1.4179			32.2998	4.4312	32.8950	1043.2757
3	20.0346	1.4188			31.5901	4.4284	32.8950	997.9327
4	20.0476	1.4197			31.2510	4.4256	32.8950	976.6251
5	20.0606	1.4207			32.4028	4.4227	32.8950	1049.9439
6	20.0736	1.4216			31.5139	4.4199	32.8950	993.1255
7	20.0866	1.4225			31.9536	4.4171	32.8950	1021.0354
8	20.0996	1.4234			32.5896	4.4142	32.8950	1062.0828
9	20.1126	1.4243			32.2084	4.4114	32.8950	1037.3814
10	20.1256	1.4252			32.3690	4.4086	32.8950	1047.7498
11	20.1386	1.4261			31.0246	4.4058	32.8950	962.5254
12	20.1516	1.4270			32.1015	4.4030	32.8950	1030.5044
13	20.1646	1.4280			32.2627	4.4001	32.8950	1040.8809
14	20.1776	1.4289			32.5468	4.3973	32.8950	1059.2912
15	20.1906	1.4298			31.7044	4.3945	32.8950	1005.1682
16	20.2036	1.4307			31.8681	4.3917	32.8950	1015.5768
17	20.2166	1.4316			31.4839	4.3889	32.8950	991.2390
18	20.2296	1.4325			31.0010	4.3862	32.8950	961.0604
19	20.2426	1.4334			31.9771	4.3834	32.8950	1022.5333
20	20.2556	1.4343			31.3340	4.3806	32.8950	981.8196
21	20.2686	1.4352			31.4872	4.3778	32.8950	991.4435
22	20.2816	1.4361			31.8001	4.3750	32.8950	1011.2494
23	20.2946	1.4371			31.9448	4.3722	32.8950	1020.4720
24	20.3076	1.4380			31.9325	4.3695	32.8950	1019.6846
25	20.3206	1.4389			31.0016	4.3667	32.8950	961.0983
26	20.3336	1.4398			32.1673	4.3640	32.8950	1034.7370
27	20.3466	1.4407			31.9101	4.3612	32.8950	1018.2527
28	20.3596	1.4416			31.5617	4.3584	32.8950	996.1432
29	20.3726	1.4425			31.1359	4.3557	32.8950	969.4460
30	20.3856	1.4434			31.7334	4.3529	32.8950	1007.0087
31	20.3986	1.4443			32.3476	4.3502	32.8950	1046.3676
32	20.4116	1.4453			31.6056	4.3475	32.8950	998.9149
33	20.4246	1.4462			31.5785	4.3447	32.8950	997.2045
34	20.4376	1.4471			32.6575	4.3420	32.8950	1066.5131
35	20.4506	1.4480			32.5253	4.3392	32.8950	1057.8921
36	20.4636	1.4489			31.6924	4.3365	32.8950	1004.4059
37	20.4766	1.4498			32.2190	4.3338	32.8950	1038.0666
38	20.4896	1.4507			32.4024	4.3311	32.8950	1049.9124
39	20.5026	1.4516			31.6445	4.3284	32.8950	1001.3770
40	20.5156	1.4525			31.6626	4.3256	32.8950	1002.5212
41	20.5286	1.4535			31.7450	4.3229	32.8950	1007.7472
42	20.5416	1.4544			31.7322	4.3202	32.8950	1006.9319
43	20.5546	1.4553			31.9061	4.3175	32.8950	1017.9992
44	20.5676	1.4562			31.6872	4.3148	32.8950	1004.0798
45	20.5806	1.4571			31.3656	4.3121	32.8950	983.8024
46	20.5936	1.4580			32.1957	4.3094	32.8950	1036.5636
47	20.6066	1.4589			32.4934	4.3067	32.8950	1055.8213
48	20.6196	1.4598			31.9488	4.3041	32.8950	1020.7260
49	20.6326	1.4607			31.8710	4.3014	32.8950	1015.7610
50	20.6456	1.4616			31.8726	4.2987	32.8950	1015.8619
51	20.6586	1.4626			31.9858	4.2960	32.8950	1023.0932
52	20.6716	1.4635			32.2098	4.2934	32.8950	1037.4698
53	20.6846	1.4644			32.1664	4.2907	32.8950	1034.6756
54	20.6976	1.4653			31.7736	4.2880	32.8950	1009.5612
55	20.7106	1.4662			31.8360	4.2854	32.8950	1013.5308
56	20.7236	1.4671			32.2744	4.2827	32.8950	1041.6372
57	20.7366	1.4680			32.0486	4.2800	32.8950	1027.1138
58	20.7496	1.4689			31.6867	4.2774	32.8950	1004.0491
59	20.7626	1.4698			31.7114	4.2747	32.8950	1005.6127
60	20.7756	1.4708			31.9634	4.2721	32.8950	1021.6583
61	20.7886	1.4717			31.7779	4.2695	32.8950	1009.8368
62	20.8016	1.4726			31.4546	4.2668	32.8950	989.3947
63	20.8146	1.4735			31.7746	4.2642	32.8950	1009.6257
64	20.8276	1.4744			32.1773	4.2615	32.8950	1035.3766
65	20.8406	1.4753			31.7451	4.2589	32.8950	1007.7514
66	20.8536	1.4762			31.7035	4.2563	32.8950	1005.1141
67	20.8666	1.4771			32.2926	4.2537	32.8950	1042.8144
68	20.8796	1.4780			31.7643	4.2511	32.8950	1008.9719
69	20.8926	1.4789			31.7610	4.2484	32.8950	1008.7585
70	20.9056	1.4799			31.7519	4.2458	32.8950	1008.1862
71	20.9186	1.4808			31.2822	4.2432	32.8950	978.5774
72	20.9316	1.4817			31.8480	4.2406	32.8950	1014.2955
73	20.9446	1.4826			32.0334	4.2380	32.8950	1026.1382
74	20.9576	1.4835			32.3974	4.2354	32.8950	1049.5893
75	20.9706	1.4844			32.0526	4.2328	32.8950	1027.3700
76	20.9836	1.4853			31.6397	4.2302	32.8950	1001.0699
77	20.9966	1.4862			31.7030	4.2276	32.8950	1005.0819
78	21.0096	1.4871			31.5766	4.2250	32.8950	997.0795
79	21.0226	1.4880			32.1807	4.2225	32.8950	1035.5982
80	21.0356	1.4890			32.8391	4.2199	32.8950	1078.4092
81	21.0486	1.4899			32.0051	4.2173	32.8950	1024.3276
82	21.0616	1.4908			31.1304	4.2147	32.8950	969.1036
83	21.0746	1.4917			31.7003	4.2122	32.8950	1004.9097
84	21.0876	1.4926			32.5486	4.2096	32.8950	1059.4131
85	21.1006	1.4935			31.7831	4.2070	32.8950	1010.1665
86	21.1136	1.4944			31.5986	4.2045	32.8950	998.4717
87	21.1266	1.4953			30.5963	4.2019	32.8950	936.1339
88	21.1396	1.4962			31.0959	4.1993	32.8950	966.9573
89	21.1526	1.4971			31.2620	4.1968	32.8950	977.3125
90	21.1656	1.4980			31.8436	4.1942	32.8950	1014.0149
91	21.1786	1.4990			32.5205	4.1917	32.8950	1057.5847
92	21.1916	1.4999			31.4066	4.1892	32.8950	986.3773
93	21.2046	1.5008			32.3585	4.1866	32.8950	1047.0695
94	21.2176	1.5017			31.1229	4.1841	32.8950	968.6335
95	21.2306	1.5026			32.0242	4.1816	32.8950	1025.5480
96	21.2436	1.5035			32.3432	4.1790	32.8950	1046.0819
97	21.2566	1.5044			32.1299	4.1765	32.8950	1032.3288
98	21.2696	1.5053			32.5498	4.1740	32.8950	1059.4880
99	21.2826	1.5062			32.7220	4.1715	32.8950	1070.7298
100	21.2956	1.5071			32.0332	4.1689	32.8950	1026.1238
101	21.3086	1.5081			32.1377	4.1664	32.8950	1032.8291
102	21.3216	1.5090			31.7970	4.1639	32.8950	1011.0474
103	21.3346	1.5099			31.5154	4.1614	32.8950	993.2174
104	21.3476	1.5108			31.7592	4.1589	32.8950	1008.6480
105	21.3606	1.5117			31.7037	4.1564	32.8950	1005.1277
106	21.3736	1.5126			31.8976	4.1539	32.8950	1017.4561
107	21.3866	1.5135			31.2909	4.1514	32.8950	979.1223
108	21.3996	1.5144			31.4366	4.1489	32.8950	988.2598
109	21.4126	1.5153			31.5956	4.1464	32.8950	998.2839
110	21.4256	1.5162			32.0399	4.1439	32.8950	1026.5541
111	21.4386	1.5171			31.2168	4.1415	32.8950	974.4872
112	21.4516	1.5181			31.6157	4.1390	32.8950	999.5532
113	21.4646	1.5190			31.2749	4.1365	32.8950	978.1164
114	21.4776	1.5199			31.4074	4.1340	32.8950	986.4241
115	21.4906	1.5208			32.2645	4.1315	32.8950	1041.0003
116	21.5036	1.5217			32.5997	4.1291	32.8950	1062.7430
117	21.5166	1.5226			31.8043	4.1266	32.8950	1011.5122
118	21.5296	1.5235			31.7734	4.1242	32.8950	1009.5518
119	21.5426	1.5244			30.9237	4.1217	32.8950	956.2749
120	21.5556	1.5253			31.5692	4.1192	32.8950	996.6125
121	21.5686	1.5262			32.2297	4.1168	32.8950	1038.7543
122	21.5816	1.5271			31.7683	4.1143	32.8950	1009.2276
123	21.5946	1.5281			32.2286	4.1119	32.8950	1038.6845
124	21.6076	1.5290			32.1951	4.1094	32.8950	1036.5271
125	21.6206	1.5299			31.4994	4.1070	32.8950	992.2094
126	21.6336	1.5308			31.8940	4.1046	32.8950	1017.2259
127	21.6466	1.5317			31.7491	4.1021	32.8950	1008.0059
128	21.6596	1.5326			31.4509	4.0997	32.8950	989.1621
129	21.6726	1.5335			31.7317	4.0973	32.8950	1006.8983
130	21.6856	1.5344			31.4611	4.0948	32.8950	989.7992
131	21.6986	1.5353			31.2823	4.0924	32.8950	978.5798
132	21.7116	1.5362			31.8168	4.0900	32.8950	1012.3087
133	21.7246	1.5371			31.4160	4.0876	32.8950	986.9652
134	21.7376	1.5381			30.9424	4.0852	32.8950	957.4343
135	21.7506	1.5390			30.7457	4.0827	32.8950	945.2959
136	21.7636	1.5399			31.0131	4.0803	32.8950	961.8147
137	21.7766	1.5408			31.7661	4.0779	32.8950	1009.0823
138	21.7896	1.5417			32.0081	4.0755	32.8950	1024.5155
139	21.8026	1.5426			31.4014	4.0731	32.8950	986.0489
140	21.8156	1.5435			31.6092	4.0707	32.8950	999.1440
141	21.8286	1.5444			32.5719	4.0683	32.8950	1060.9288
142	21.8416	1.5453			32.0828	4.0659	32.8950	1029.3083
143	21.8546	1.5462			31.4332	4.0636	32.8950	988.0448
144	21.8676	1.5471			31.6587	4.0612	32.8950	1002.2711
145	21.8806	1.5480			31.7356	4.0588	32.8950	1007.1457
146	21.8936	1.5490			31.7341	4.0564	32.8950	1007.0514
147	21.9066	1.5499			31.9001	4.0540	32.8950	1017.6161
148	21.9196	1.5508			31.6012	4.0516	32.8950	998.6361
149	21.9326	1.5517			32.0535	4.0493	32.8950	1027.4294
150	21.9456	1.5526			32.2283	4.0469	32.8950	1038.6623
151	21.9586	1.5535			32.1649	4.0445	32.8950	1034.5827
152	21.9716	1.5544			32.3567	4.0422	32.8950	1046.9584
153	21.9846	1.5553			32.1714	4.0398	32.8950	1035.0000
154	21.9976	1.5562			31.7341	4.0375	32.8950	1007.0505
155	22.0106	1.5571			31.5126	4.0351	32.8950	993.0468
156	22.0236	1.5580			31.8035	4.0327	32.8950	1011.4620
157	22.0366	1.5589			32.3894	4.0304	32.8950	1049.0739
158	22.0496	1.5599			32.2293	4.0281	32.8950	1038.7252
159	22.0626	1.5608			30.8918	4.0257	32.8950	954.3026
160	22.0756	1.5617			31.5900	4.0234	32.8950	997.9307
161	22.0886	1.5626			32.8049	4.0210	32.8950	1076.1638
162	22.1016	1.5635			32.5726	4.0187	32.8950	1060.9749
163	22.1146	1.5644			32.1222	4.0164	32.8950	1031.8374
164	22.1276	1.5653			31.4380	4.0140	32.8950	988.3467
165	22.1406	1.5662			31.3601	4.0117	32.8950	983.4548
166	22.1536	1.5671			31.6112	4.0094	32.8950	999.2654
167	22.1666	1.5680			31.8018	4.0071	32.8950	1011.3522
168	22.1796	1.5689			32.2567	4.0047	32.8950	1040.4917
169	22.1926	1.5698			32.7973	4.0024	32.8950	1075.6653
170	22.2056	1.5708			32.4024	4.0001	32.8950	1049.9183
171	22.2186	1.5717			31.2936	3.9978	32.8950	979.2906
172	22.2316	1.5726			31.0054	3.9955	32.8950	961.3361
173	22.2446	1.5735			31.2323	3.9932	32.8950	975.4540
174	22.2576	1.5744			31.7759	3.9909	32.8950	1009.7071
175	22.2706	1.5753			32.3259	3.9886	32.8950	1044.9652
176	22.2836	1.5762			32.0710	3.9863	32.8950	1028.5522
177	22.2966	1.5771			32.6910	3.9840	32.8950	1068.7022
178	22.3096	1.5780			32.3017	3.9817	32.8950	1043.3999
179	22.3226	1.5789			31.4248	3.9794	32.8950	987.5175
180	22.3356	1.5798			31.3124	3.9771	32.8950	980.4648
181	22.3486	1.5807			32.2612	3.9748	32.8950	1040.7860
182	22.3616	1.5816			32.2617	3.9726	32.8950	1040.8163
183	22.3746	1.5826			32.2207	3.9703	32.8950	1038.1758
184	22.3876	1.5835			31.9358	3.9680	32.8950	1019.8950
185	22.4006	1.5844			32.2096	3.9657	32.8950	1037.4595
186	22.4136	1.5853			31.5779	3.9635	32.8950	997.1644
187	22.4266	1.5862			31.7083	3.9612	32.8950	1005.4137
188	22.4396	1.5871			32.2972	3.9589	32.8950	1043.1094
189	22.4526	1.5880			32.1487	3.9567	32.8950	1033.5380
190	22.4656	1.5889			32.6846	3.9544	32.8950	1068.2847
191	22.4786	1.5898			31.1990	3.9521	32.8950	973.3771
192	22.4916	1.5907			31.4422	3.9499	32.8950	988.6129
193	22.5046	1.5916			31.9958	3.9476	32.8950	1023.7287
194	22.5176	1.5925			31.3867	3.9454	32.8950	985.1249
195	22.5306	1.5934			31.7384	3.9431	32.8950	1007.3243
196	22.5436	1.5944			31.6718	3.9409	32.8950	1003.1045
197	22.5566	1.5953			32.5493	3.9386	32.8950	1059.4595
198	22.5696	1.5962			31.8641	3.9364	32.8950	1015.3204
199	22.5826	1.5971			31.6542	3.9342	32.8950	1001.9907
200	22.5956	1.5980			32.0705	3.9319	32.8950	1028.5162
201	22.6086	1.5989			31.7915	3.9297	32.8950	1010.6993
